Spine,LeftUpLeg,RightUpLeg,Spine2,Neck,RightArm,RightShoulder,LeftArm,LeftShoulder,RightLeg,LeftLeg
"(nan, nan, nan)","(180.0, 180.0, 92.4907)","(0.0, 180.0, 92.1883)","(180.0, 180.0, nan)","(180.0, 180.0, 179.9631)","(0.0, 0.0, 58.8412)","(0.0, 180.0, 114.613)","(180.0, 0.0, 134.7862)","(0.0, 180.0, 80.3462)","(180.0, 0.0, 173.1999)","(180.0, 180.0, 178.0057)"
"(nan, nan, nan)","(180.0, 180.0, 93.682)","(0.0, 180.0, 89.8091)","(180.0, 180.0, 180.0)","(180.0, 180.0, 179.6886)","(0.0, 0.0, 59.8254)","(0.0, 180.0, 113.7809)","(180.0, 0.0, 134.7862)","(0.0, 180.0, 80.8531)","(180.0, 0.0, 175.5085)","(180.0, 180.0, 178.0057)"
"(nan, nan, nan)","(180.0, 180.0, 92.4378)","(0.0, 180.0, 91.0269)","(180.0, 180.0, nan)","(180.0, 180.0, 179.6994)","(0.0, 0.0, 58.8412)","(0.0, 180.0, 114.2914)","(180.0, 0.0, 134.7862)","(0.0, 180.0, 81.0187)","(180.0, 0.0, 175.5085)","(180.0, 180.0, 177.9792)"
"(nan, nan, nan)","(180.0, 180.0, 93.6555)","(0.0, 180.0, 89.7659)","(180.0, 180.0, 180.0)","(180.0, 180.0, 178.2262)","(0.0, 0.0, 58.8412)","(0.0, 180.0, 114.4472)","(180.0, 0.0, 134.7862)","(0.0, 180.0, 81.1854)","(180.0, 0.0, 175.5517)","(180.0, 180.0, 177.9792)"
"(nan, nan, nan)","(180.0, 180.0, 93.6555)","(0.0, 180.0, 89.7659)","(180.0, 180.0, nan)","(180.0, 180.0, 178.1666)","(0.0, 0.0, 57.8204)","(0.0, 180.0, 112.9616)","(180.0, 0.0, 134.7862)","(0.0, 180.0, 81.3531)","(180.0, 0.0, 175.5517)","(180.0, 180.0, 179.0578)"
"(nan, nan, nan)","(180.0, 180.0, 92.388)","(0.0, 180.0, 90.9837)","(180.0, 180.0, nan)","(180.0, 180.0, 179.3291)","(0.0, 0.0, 57.149)","(0.0, 180.0, 113.2382)","(180.0, 0.0, 132.4337)","(0.0, 180.0, 82.6468)","(180.0, 0.0, 175.5517)","(180.0, 180.0, 178.9665)"
"(nan, nan, nan)","(180.0, 180.0, 92.388)","(0.0, 180.0, 90.9837)","(180.0, 180.0, nan)","(180.0, 180.0, 179.204)","(0.0, 0.0, 56.4252)","(0.0, 180.0, 112.2148)","(180.0, 0.0, 132.4337)","(0.0, 180.0, 82.6468)","(180.0, 0.0, 175.5517)","(180.0, 180.0, 178.9665)"
"(nan, nan, nan)","(180.0, nan, 91.2189)","(0.0, 180.0, 90.9837)","(180.0, 180.0, 180.0)","(180.0, 180.0, 179.6578)","(0.0, 0.0, 56.4252)","(0.0, 180.0, 112.2059)","(180.0, 0.0, 132.0466)","(0.0, 180.0, 81.7779)","(180.0, 0.0, 175.5517)","(180.0, nan, 176.6981)"
"(nan, nan, nan)","(180.0, nan, 91.2189)","(0.0, 180.0, 90.9837)","(180.0, 180.0, 180.0)","(180.0, 180.0, 179.6014)","(0.0, 0.0, 56.1256)","(0.0, 180.0, 112.2059)","(180.0, 0.0, 132.0466)","(0.0, 180.0, 81.7779)","(180.0, 0.0, 175.5517)","(180.0, nan, 176.6981)"
"(nan, nan, nan)","(180.0, nan, 91.2189)","(0.0, 180.0, 90.9837)","(180.0, 180.0, 180.0)","(180.0, 180.0, 179.6014)","(0.0, 0.0, 57.496)","(0.0, 180.0, 112.2059)","(180.0, 0.0, 134.4041)","(0.0, 180.0, 80.8609)","(180.0, 0.0, 175.5517)","(180.0, nan, 176.6981)"
"(nan, nan, nan)","(180.0, 180.0, 92.4145)","(0.0, 180.0, 90.9572)","(180.0, 180.0, 180.0)","(180.0, 180.0, 179.9227)","(0.0, 0.0, 57.496)","(0.0, 180.0, 112.0411)","(180.0, 0.0, 134.4041)","(0.0, 180.0, 81.041)","(180.0, 0.0, 176.6741)","(180.0, 180.0, 177.8673)"
"(nan, nan, nan)","(180.0, 180.0, 92.4145)","(0.0, 180.0, 90.9572)","(180.0, 180.0, 180.0)","(180.0, 180.0, 179.9227)","(0.0, 0.0, 57.496)","(0.0, 180.0, 112.0411)","(180.0, 0.0, 134.4041)","(0.0, 180.0, 81.041)","(180.0, 0.0, 176.6741)","(180.0, 180.0, 177.8673)"
"(nan, nan, nan)","(180.0, 180.0, 92.4145)","(0.0, 180.0, 90.9572)","(180.0, 180.0, 180.0)","(180.0, 180.0, 179.9227)","(0.0, 0.0, 57.496)","(0.0, 180.0, 112.0411)","(180.0, 0.0, 136.7946)","(0.0, 180.0, 80.1002)","(180.0, 0.0, 176.6741)","(180.0, 180.0, 177.8673)"
"(nan, nan, nan)","(180.0, 180.0, 92.4145)","(0.0, 180.0, 92.0565)","(180.0, 180.0, 180.0)","(180.0, 180.0, 179.9227)","(0.0, 0.0, 58.8797)","(0.0, 180.0, 112.0411)","(180.0, 0.0, 136.7946)","(0.0, 180.0, 80.1002)","(180.0, 0.0, 174.4524)","(180.0, 180.0, 178.9665)"
"(nan, nan, nan)","(180.0, 180.0, 92.388)","(0.0, 180.0, 90.9837)","(180.0, 180.0, nan)","(180.0, 180.0, 179.7558)","(0.0, 0.0, 58.8797)","(0.0, 180.0, 111.8754)","(180.0, 0.0, 136.7946)","(0.0, 180.0, 80.2793)","(180.0, 0.0, 175.5068)","(180.0, 180.0, 178.9665)"
"(nan, nan, nan)","(180.0, 180.0, 92.388)","(0.0, 180.0, 90.9837)","(180.0, 180.0, 180.0)","(180.0, 180.0, 179.1982)","(0.0, 0.0, 59.8739)","(0.0, 180.0, 111.9686)","(180.0, 0.0, 135.3449)","(0.0, 180.0, 80.4574)","(180.0, 0.0, 175.5068)","(180.0, 180.0, 178.9234)"
"(nan, nan, nan)","(nan, 180.0, 91.1458)","(nan, 180.0, 92.2026)","(180.0, 180.0, nan)","(180.0, 180.0, 179.1855)","(0.0, 0.0, 59.8739)","(0.0, 180.0, 112.1245)","(180.0, 0.0, 135.1548)","(0.0, 180.0, 80.6241)","(180.0, 0.0, 175.5068)","(180.0, 180.0, 178.9)"
"(nan, nan, nan)","(nan, 180.0, 91.1458)","(nan, 180.0, 92.2026)","(180.0, 180.0, nan)","(180.0, 180.0, 179.1855)","(0.0, 0.0, 59.8739)","(0.0, 180.0, 112.1245)","(180.0, 0.0, 137.6066)","(0.0, 180.0, 79.6591)","(180.0, 0.0, 175.5068)","(180.0, 180.0, 178.9)"
